SecurityID | ExchangeID | TypeID | Ticker | Name
289        | 1          | 1      | MAR    | Marriott Int'l.
290        | 1          | 1      | MMC    | Marsh & McLennan
291        | 1          | 1      | MAS    | Masco Corp.
292        | 1          | 1      | MA     | Mastercard Inc.
293        | 1          | 1      | MAT    | Mattel Inc.
294        | 1          | 1      | MKC    | McCormick & Co.
295        | 1          | 1      | MCD    | McDonald's Corp.
296        | 1          | 1      | MHP    | McGraw-Hill
297        | 1          | 1      | MCK    | McKesson Corp.
298        | 1          | 1      | MJ     | Mead Johnson
299        | 1          | 1      | MWV    | MeadWestvaco Corporation
300        | 1          | 1      | MDT    | Medtronic Inc.
301        | 1          | 1      | MRK    | Merck & Co.
302        | 1          | 1      | MET    | MetLife Inc.
303        | 1          | 1      | PCS    | MetroPCS Communications Inc.
304        | 2          | 1      | MCHP   | Microchip Technology
305        | 2          | 1      | MU     | Micron Technology
306        | 2          | 1      | MSFT   | Microsoft Corp.
307        | 2          | 1      | MOLX   | Molex Inc.
308        | 1          | 1      | TAP    | Molson Coors Brewing Company
309        | 1          | 1      | MO     | Monsanto Co.
310        | 2          | 1      | MNST   | Monster Beverage
311        | 1          | 1      | MCO    | Moody's Corp
312        | 1          | 1      | MS     | Morgan Stanley
313        | 1          | 1      | MOS    | The Mosaic Company
314        | 1          | 1      | MSI    | Motorola Solutions Inc.
315        | 1          | 1      | MUR    | Murphy Oil
316        | 2          | 1      | MYL    | Mylan Inc.
317        | 1          | 1      | NBR    | Nabors Industries Ltd.
318        | 2          | 1      | NDAQ   | NASDAQ OMX Group
319        | 1          | 1      | NOV    | National Oilwell Varco Inc.
320        | 2          | 1      | NTAP   | NetApp
321        | 2          | 1      | NFLX   | NetFlix Inc.
322        | 1          | 1      | NWL    | Newell Rubbermaid Co.
323        | 1          | 1      | NFX    | Newfield Exploration Co
324        | 1          | 1      | NEM    | Newmont Mining Corp. (Hldg. Co.)
325        | 2          | 1      | NWSA   | News Corporation
326        | 1          | 1      | NEE    | NextEra Energy Resources
327        | 1          | 1      | NKE    | NIKE Inc.
328        | 1          | 1      | NI     | NiSource Inc.
329        | 1          | 1      | NE     | Noble Corp
330        | 1          | 1      | NBL    | Noble Energy Inc
331        | 1          | 1      | JW     | Nordstrom
332        | 1          | 1      | NSC    | Norfolk Southern Corp.
333        | 2          | 1      | NTRS   | Northern Trust Corp.
334        | 1          | 1      | NOC    | Northrop Grumman Corp.
335        | 1          | 1      | NU     | Northeast Utilities
336        | 1          | 1      | NRG    | NRG Energy
337        | 1          | 1      | NUE    | Nucor Corp.
338        | 2          | 1      | NVDA   | Nvidia Corporation
339        | 1          | 1      | NYX    | NYSE Euronext
340        | 2          | 1      | ORLY   | O'Reilly Automotive
341        | 1          | 1      | OXY    | Occidental Petroleum
342        | 1          | 1      | OMC    | Omnicom Group
343        | 1          | 1      | OKE    | ONEOK
344        | 2          | 1      | ORCL   | Oracle Corp.
345        | 1          | 1      | OI     | Owens-Illinois Inc
346        | 2          | 1      | PCAR   | PACCAR Inc.
347        | 1          | 1      | PLL    | Pall Corp.
348        | 1          | 1      | PH     | Parker-Hannifin
349        | 2          | 1      | PDCO   | Patterson Companies
350        | 2          | 1      | PAYX   | Paychex Inc.
351        | 1          | 1      | BTU    | Peabody Energy
352        | 1          | 1      | JCP    | Penney (J.C.)
353        | 2          | 1      | PBCT   | People's United Bank
354        | 1          | 1      | POM    | Pepco Holdings Inc.
355        | 1          | 1      | PEP    | PepsiCo Inc.
356        | 1          | 1      | PKI    | PerkinElmer
357        | 1          | 1      | PRGO   | Perrigo
358        | 1          | 1      | PFE    | Pfizer Inc.
359        | 1          | 1      | PCG    | PG&E Corp.
360        | 1          | 1      | PM     | Philip Morris International
361        | 1          | 1      | PSX    | Phillips 66
362        | 1          | 1      | PNW    | Pinnacle West Capital
363        | 1          | 1      | PXD    | Pioneer Natural Resources
364        | 1          | 1      | PBI    | Pitney-Bowes
365        | 1          | 1      | PCL    | Plum Creek Timber Co.
366        | 1          | 1      | PNC    | PNC Financial Services
367        | 1          | 1      | RL     | Polo Ralph Lauren Corp.
368        | 1          | 1      | PPG    | PPG Industries
369        | 1          | 1      | PPL    | PPL Corp.
370        | 1          | 1      | PX     | Praxair Inc.
371        | 1          | 1      | PCP    | Precision Castparts
372        | 2          | 1      | PCL    | Priceline.com Inc
373        | 1          | 1      | PFG    | Principal Financial Group
374        | 1          | 1      | PG     | Procter & Gamble
375        | 1          | 1      | PGR    | Progressive Corp.
376        | 1          | 1      | PLD    | ProLogis
377        | 1          | 1      | PRU    | Prudential Financial
378        | 1          | 1      | PEG    | Public Serv. Enterprise Inc.
379        | 1          | 1      | PSA    | Public Storage
380        | 1          | 1      | PHM    | Pulte Homes Inc.
381        | 1          | 1      | QEP    | QEP Resources
382        | 1          | 1      | PWR    | Quanta Services Inc.
383        | 2          | 1      | QCOM   | QUALCOMM Inc.
384        | 1          | 1      | DGX    | Quest Diagnostics
385        | 1          | 1      | RRC    | Range Resources Corp.
386        | 1          | 1      | RT     | Raytheon Co.
387        | 1          | 1      | RHT    | Red Hat Inc.
388        | 1          | 1      | RF     | Regions Financial Corp.
389        | 1          | 1      | RSG    | Republic Services Inc
390        | 1          | 1      | RAI    | Reynolds American Inc.
391        | 1          | 1      | RHI    | Robert Half International
392        | 1          | 1      | ROK    | Rockwell Automation Inc.
393        | 1          | 1      | COL    | Rockwell Collins
394        | 1          | 1      | ROP    | Roper Industries
395        | 2          | 1      | ROST   | Ross Stores Inc.
396        | 1          | 1      | RDC    | Rowan Cos.
397        | 1          | 1      | R      | Ryder System
398        | 1          | 1      | SWY    | Safeway Inc.
399        | 1          | 1      | SAI    | SAIC
400        | 1          | 1      | CRM    | Salesforce.com
401        | 2          | 1      | SNDK   | SanDisk Corporatio,
402        | 1          | 1      | SCG    | SCANA Corp
403        | 1          | 1      | SLB    | Schlumberger Ltd.
404        | 1          | 1      | SNI    | Scripps Networks Interactive Inc.
405        | 2          | 1      | STX    | Seagate Technology
406        | 1          | 1      | SEE    | Sealed Air Corp.(New)
407        | 1          | 1      | SRE    | Sempra Energy
408        | 1          | 1      | SHW    | Sherwin-Williams
409        | 2          | 1      | SIAL   | Sigma-Aldrich
410        | 1          | 1      | SPG    | Simon Property Group Inc
411        | 1          | 1      | SLM    | SLM Corporatio,
412        | 1          | 1      | SJM    | Smucker (J.M.)
413        | 1          | 1      | SNA    | Snap-On Inc.
414        | 1          | 1      | SO     | Southern Co.
415        | 1          | 1      | LUV    | Southwest Airlines
416        | 1          | 1      | SW     | Southwestern Energy
417        | 1          | 1      | SE     | Spectra Energy Corp.
418        | 1          | 1      | S      | Sprint Nextel Corp.
419        | 1          | 1      | STJ    | St Jude Medical
420        | 1          | 1      | SWK    | Stanley Black & Decker
421        | 2          | 1      | SPLS   | Staples Inc.
422        | 2          | 1      | SBUX   | Starbucks Corp.
423        | 1          | 1      | HOT    | Starwood Hotels & Resorts
424        | 1          | 1      | STT    | State Street Corp.
425        | 1          | 1      | SRCL   | Stericycle Inc
426        | 1          | 1      | SYK    | Stryker Corp.
427        | 1          | 1      | SU     | Sunoco Inc.
428        | 1          | 1      | STI    | SunTrust Banks
429        | 2          | 1      | SYMC   | Symantec Corp.
430        | 1          | 1      | SYY    | Sysco Corp.
431        | 2          | 1      | TROW   | T. Rowe Price Group
432        | 1          | 1      | TGT    | Target Corp.
433        | 1          | 1      | TEL    | TE Connectivity Ltd.
434        | 1          | 1      | TE     | TECO Energy
435        | 1          | 1      | THC    | Tenet Healthcare Corp.
436        | 1          | 1      | TDC    | Teradata Corp.
437        | 1          | 1      | TER    | Teradyne Inc.
438        | 1          | 1      | TSO    | Tesoro Petroleum Co.
439        | 2          | 1      | TX     | Texas Instruments
440        | 1          | 1      | TXT    | Textron Inc.
441        | 1          | 1      | HSY    | The Hershey Company
442        | 1          | 1      | TRV    | The Travelers Companies Inc.
443        | 1          | 1      | TMO    | Thermo Fisher Scientific
444        | 1          | 1      | TIF    | Tiffany & Co.
445        | 1          | 1      | TWX    | Time Warner Inc.
446        | 1          | 1      | TWC    | Time Warner Cable Inc.
447        | 1          | 1      | TIE    | Titanium Metals Corp
448        | 1          | 1      | TJX    | TJX Companies Inc.
449        | 1          | 1      | TMK    | Torchmark Corp.
450        | 1          | 1      | TSS    | Total System Services
451        | 2          | 1      | TRIP   | TripAdvisor
452        | 1          | 1      | TS     | Tyson Foods
453        | 1          | 1      | TYC    | Tyco International
454        | 1          | 1      | USB    | U.S. Bancorp
455        | 1          | 1      | UNP    | Union Pacific
456        | 1          | 1      | UNH    | United Health Group Inc.
457        | 1          | 1      | UPS    | United Parcel Service
